means,cond,test
0.006526559,single_c,pre
-0.000339247,single_c,pre
0.004362929,single_c,pre
0.00639588,single_c,pre
0.002800693,single_c,pre
0.008779345,single_c,pre
0.003977723,single_c,pre
0.001790743,single_c,pre
0.001818048,single_c,pre
0.001632423,single_c,pre
0.006649431,single_c,pre
0.004731546,single_c,pre
0.000302171,single_c,pre
0.003265301,single_c,pre
0.004577925,single_c,pre
0.008154135,single_c,pre
0.007552877,single_p_t,pre
0.000531413,single_p_t,pre
0.003816287,single_p_t,pre
0.00499397,single_p_t,pre
0.00387162,single_p_t,pre
0.007881559,single_p_t,pre
0.005654358,single_p_t,pre
-0.000628648,single_p_t,pre
0.002955476,single_p_t,pre
0.002861845,single_p_t,pre
0.006406551,single_p_t,pre
0.003065996,single_p_t,pre
0.000606249,single_p_t,pre
0.004095108,single_p_t,pre
0.004064466,single_p_t,pre
0.009178233,single_p_t,pre
0.004982259,single_p_un,pre
0.000501078,single_p_un,pre
0.005173901,single_p_un,pre
0.003602912,single_p_un,pre
0.003323744,single_p_un,pre
0.001751367,single_p_un,pre
0.002323125,single_p_un,pre
-9.94E-05,single_p_un,pre
0.00636437,single_p_un,pre
0.001803902,single_p_un,pre
0.005333993,single_p_un,pre
0.003693199,single_p_un,pre
0.001565629,single_p_un,pre
0.004751165,single_p_un,pre
0.004263015,single_p_un,pre
0.010178303,single_p_un,pre
0.005978627,dual_t,pre
0.001041323,dual_t,pre
0.009945535,dual_t,pre
0.002317966,dual_t,pre
0.003595946,dual_t,pre
0.005853814,dual_t,pre
0.002136118,dual_t,pre
-0.002168604,dual_t,pre
0.004109863,dual_t,pre
0.001951931,dual_t,pre
0.004434759,dual_t,pre
0.002651669,dual_t,pre
0.002112713,dual_t,pre
0.00248591,dual_t,pre
0.003786181,dual_t,pre
0.009593843,dual_t,pre
0.004113086,dual_un,pre
0.0006408,dual_un,pre
0.006649862,dual_un,pre
0.002378154,dual_un,pre
0.00422117,dual_un,pre
0.001951444,dual_un,pre
0.009033528,dual_un,pre
-0.001315031,dual_un,pre
0.006338929,dual_un,pre
0.001936507,dual_un,pre
0.005083828,dual_un,pre
0.004071618,dual_un,pre
0.003236879,dual_un,pre
0.004114832,dual_un,pre
0.004594539,dual_un,pre
0.008621327,dual_un,pre
0.0021366,single_c,post
0.000200226,single_c,post
0.001253686,single_c,post
0.005147167,single_c,post
0.001769859,single_c,post
0.00459489,single_c,post
-0.002071485,single_c,post
0.000867925,single_c,post
0.000295053,single_c,post
0.000231632,single_c,post
0.00732232,single_c,post
0.003731972,single_c,post
0.003716981,single_c,post
0.002466431,single_c,post
0.000890483,single_c,post
0.00544736,single_c,post
0.002610059,single_p_t,post
0.001205706,single_p_t,post
0.003355847,single_p_t,post
0.003639743,single_p_t,post
0.003351774,single_p_t,post
0.004858664,single_p_t,post
0.002874446,single_p_t,post
0.001043293,single_p_t,post
0.003558106,single_p_t,post
0.000996082,single_p_t,post
0.005958757,single_p_t,post
0.001995906,single_p_t,post
0.004078518,single_p_t,post
0.004730667,single_p_t,post
0.002372059,single_p_t,post
0.010148731,single_p_t,post
0.004192889,single_p_un,post
0.000501029,single_p_un,post
0.004732489,single_p_un,post
0.003060217,single_p_un,post
0.003669584,single_p_un,post
0.004042065,single_p_un,post
0.009156406,single_p_un,post
0.00117419,single_p_un,post
0.00591421,single_p_un,post
0.001152031,single_p_un,post
0.007878436,single_p_un,post
0.00324078,single_p_un,post
0.005286943,single_p_un,post
0.003152446,single_p_un,post
0.002602879,single_p_un,post
0.006674751,single_p_un,post
0.002875513,dual_t,post
0.001495756,dual_t,post
0.003854573,dual_t,post
0.002258289,dual_t,post
0.003430833,dual_t,post
0.003620274,dual_t,post
0.006803909,dual_t,post
-0.000639918,dual_t,post
0.003478912,dual_t,post
0.001473977,dual_t,post
0.00087621,dual_t,post
0.002500391,dual_t,post
0.006580749,dual_t,post
0.003336208,dual_t,post
0.002138227,dual_t,post
0.010319369,dual_t,post
0.005231456,dual_un,post
0.00130526,dual_un,post
0.005576328,dual_un,post
0.000705836,dual_un,post
0.004314061,dual_un,post
0.004811218,dual_un,post
0.012382287,dual_un,post
-0.000639399,dual_un,post
0.00274213,dual_un,post
0.001363833,dual_un,post
0.005147212,dual_un,post
0.002315333,dual_un,post
0.005226439,dual_un,post
0.002104378,dual_un,post
0.002176067,dual_un,post
0.008074146,dual_un,post
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
